asin,sentence,helpful,main_image_url,product_title
B000AO3L84,this flash is a superb value.,1.7000000000000002,http://ecx.images-amazon.com/images/I/41XAEKR9D1L.jpg,Canon 430EX Speedlite Flash for Canon EOS SLR Cameras - Older Version
B001SEQPGK,The pictures were not sharp at all.,1.3,http://ecx.images-amazon.com/images/I/71KLvmtcN9L.jpg,Sony Cyber-shot DSC-W290 12 MP Digital Camera with 5x Optical Zoom and Super Steady Shot Image Stabilization
0553386697,A very good resource for parents.,1.9,http://ecx.images-amazon.com/images/I/81HdbmkRjWL.jpg,The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind
B006SUWZH2,"We have it in a child's room, and will be switching it out soon.",0.25,http://ecx.images-amazon.com/images/I/61A2WQOLUaL.jpg,Memorex Portable CD Boombox with AM FM Radio
B000W7F5SS,Again the makers are too lazy to bring in the pensieve and do an entire scene.,0.9,http://ecx.images-amazon.com/images/I/91E7TPDbSfL.jpg,Harry Potter and the Order of the Phoenix (Widescreen Edition)
B000AO3L84,This flash is a great value for the money.,2.0,http://ecx.images-amazon.com/images/I/41XAEKR9D1L.jpg,Canon 430EX Speedlite Flash for Canon EOS SLR Cameras - Older Version
B00081NX5U,"So I've had these speakers for three days now, bought them for my garage stereo system.",0.73,http://ecx.images-amazon.com/images/I/51GQZT32D9L.jpg,iPod Detachable Receiver 7
B00000F1D3,"they're cd's or tape's forget about the ""spice Girl's"" Cher's  music",0.9,http://ecx.images-amazon.com/images/I/41H0Y95GM1L.jpg,Believe
B00000FCBH,"he proved that even with a dysfunctional family, hard-times, and near death expierences - you can still aim high and succeed.",1.3,http://ecx.images-amazon.com/images/I/51iQ7z1W0jL.jpg,2Pac Greatest Hits
B00013M6NU,"I realize these things can happen, so I truly am hoping they will replace it.",0.4,http://ecx.images-amazon.com/images/I/41XR3APDJBL.jpg,Nikon MH-61 Battery Charger for Nikon EN-EL5 Batteries
0375703764,Emulate contortionists and like to do the same with their reading material and conspiracy theorists will probably love this book.,1.5,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B000002GJH,The best tracks in [[ASIN:,0.9,http://ecx.images-amazon.com/images/I/518P0F1DBGL.jpg,Temple Of The Dog
B002JSM3KQ,", so Amazon likes to use them.",0.2,http://ecx.images-amazon.com/images/I/915NTWZUtjL.jpg,Monopoly Board Game The Classic Edition
B008FSCNTK,but I'll be checking the tracks first.,0.4,http://ecx.images-amazon.com/images/I/71YGLpEIXnL.jpg,Glad Rag Doll
B003T90WY8,Edit to add: These work very well with the original round Apple earbud.,1.7000000000000002,http://ecx.images-amazon.com/images/I/51wvXmZmxzL.jpg,EARBUDi Clips on and off Your Apple iPod® or iPhone® Earbuds - and Turns Them Into Sport Headphones. Soft Over-The-Ear Design with Earbud Tilt & Rotation - Provide a Custom Comfortable Fit.
B00002E220,I had the VHS and figured that it was time to get the DVD.,0.8,http://ecx.images-amazon.com/images/I/51PCHRAW0PL.jpg,Last of the Dogmen
B0002COTDA,"Columbo is one of my favorite shows, and gets 5 stars.",1.0,http://ecx.images-amazon.com/images/I/41pYBQGm-2L.jpg,Columbo - The Complete First Season
0061208493,any of his books would be a great read for young teenagers as well as adults.,1.3599999999999999,http://ecx.images-amazon.com/images/I/81rZBiijb1L.jpg,The Complete C. S. Lewis Signature Classics
B000002KB8,The title has nothing to do with the lyrics.,1.0,http://ecx.images-amazon.com/images/I/81K4W71c38L.jpg,Black Sabbath
0470474874,It basically copied the Help manual.,1.1,http://ecx.images-amazon.com/images/I/51p1iitErRL.jpg,Excel 2010 Bible
B00092KD9C,This strap is just what I needed for lugging my D700 + battery pack +,1.7000000000000002,http://ecx.images-amazon.com/images/I/61rxbuyb3gL.jpg,OP/TECH USA 1504372 Pro Loop Strap (Royal)
B00005JPMZ,"If you can get past that, however, the action is actually done quite well.",1.3,http://ecx.images-amazon.com/images/I/91vXjsklrTL.jpg,TMNT
B000OG88NQ,"Was somewhat disappointed, the center speaker sounded very tinny and also had slight distortion in the upper frequencies at very moderate listening levels that everybody noticed.",2.0,http://ecx.images-amazon.com/images/I/31T-cEmAjuL.jpg,Sony SS-CR3000 Center and Rear Channel Speaker Package
B00L5LDWP8,I thought this would arrive already otogether,0.4,http://ecx.images-amazon.com/images/I/81JsQZ4OynL.jpg,Radio Flyer Little Toy Wagon
B0002COTDA,You will not be disappointed with Season One,0.8,http://ecx.images-amazon.com/images/I/41pYBQGm-2L.jpg,Columbo - The Complete First Season
0451414047,"Hello, This book is great.",1.2,http://ecx.images-amazon.com/images/I/51kOlFQ7DpL.jpg,"To Selena, with Love"
B001K5UQX0,"It screws into the front of any lens but the distortion is most noticeable under 40mm, over 40mm still gives you a very wide angle",1.73,http://ecx.images-amazon.com/images/I/51I+oONHYKL.jpg,"Opteka 0.20X Professional Super AF Fisheye Lens for Nikon D4s, D4, D3x, Df, D810, D800, D750, D610, D600, D7200, D7100, D7000, D5500, D5300, D5200, D5100, D3300, D3200 and D3100 Digital SLR Cameras"
B000ONDRFS,The Flip is just fun fun fun.,1.2,http://ecx.images-amazon.com/images/I/81CofGfT-hS.jpg,Flip Video Camcorder
B0007QKMQY,I still do not know what the fancy functions are and how to use them.,0.36,http://ecx.images-amazon.com/images/I/51G31QKNJFL.jpg,Canon Digital Rebel XT 8MP Digital SLR Camera
B0000658L4,I'm thinking of putting one on myself :),0.30000000000000004,http://ecx.images-amazon.com/images/I/811Z0XZZtVL.jpg,Melissa & Doug Pizza Party Wooden Play Food Set
